Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
24/12/2022,16.7,23.5,0,3.6,12.4,S,31,17:32,18.9,66,4,SW,9,1011.7,21.6,53,1,SSW,13,1010.8
25/12/2022,12.9,31.9,0,7.2,13.3,SSW,24,12:58,19.5,66,0,ENE,7,1013.1,30.3,31,1,SW,11,1012.3
26/12/2022,17,27.5,0,8.6,8.9,SSW,28,11:24,22.6,58,7,NNE,11,1016.6,23.6,67,3,S,13,1016.6
27/12/2022,17.7,37.3,0,10.2,13.5,N,33,15:08,25.1,62,0,ENE,7,1018.1,36.5,26,1,N,15,1013.1
28/12/2022,25,27.6,0,15.4,0.4,N,46,5:03,27.6,42,8,W,9,1008.2,18,71,8,SW,13,1013.4
29/12/2022,14,19.3,0.8,4.4,0,SSE,33,12:26,15.8,58,7,SSE,17,1019,18.4,55,7,S,13,1017.5
30/12/2022,12.6,26.2,0,5.4,12.6,SSW,30,14:55,18.2,70,1,ENE,4,1015.9,25,52,3,SSW,11,1012.5
31/12/2022,17.9,30.3,0,6.4,12.5,SSE,30,16:09,20.6,78,1,NNE,4,1014.3,27.4,54,3,SSW,11,1010.4
1/01/2023,18.4,35.9,0,7.4,13.5,N,31,12:47,24.6,65,1,NNE,7,1010.8,35.3,34,7,NW,11,1007.4
2/01/2023,22.1,32,6.4,13.4,9.3,N,52,8:16,28.6,47,7,N,22,1005.9,21.1,80,6,SSW,13,1006.6
3/01/2023,15.2,21.1,0.2,8.8,4,S,37,18:34,17.4,68,8,SSE,11,1010.2,20.5,58,7,SSW,17,1008.9
4/01/2023,15,18.7,0,6,0,SW,52,15:31,15.6,62,7,SSW,13,1010.7,16,76,7,SSW,22,1011.2
5/01/2023,14.1,21.6,1,3.2,9.2,S,39,12:00,18.4,66,1,SE,13,1014.9,20.8,65,5,S,15,1014.3
6/01/2023,13.3,25.6,0,7,12.9,ESE,37,9:05,18.4,65,1,ESE,15,1017.7,25.4,39,1,SE,17,1015
7/01/2023,13.2,30.2,0,8,13.5,SSE,28,17:27,18.5,66,0,NE,9,1015.1,28.8,34,1,S,11,1011.4
8/01/2023,14.9,31.9,0,8.6,13.4,SE,24,17:49,20.3,67,0,NE,4,1012.7,30,28,1,SSW,11,1010.7
9/01/2023,18.4,26.2,0,9.6,12.9,SSW,37,17:41,24.3,46,0,S,6,1011.9,21.2,75,6,S,17,1013.3
10/01/2023,16.9,21.6,0,8,7.8,SSW,35,15:49,17.4,66,8,SSE,9,1016.4,20.7,63,1,SSW,15,1013.8
11/01/2023,15.9,29.9,0,6.4,13.1,SSW,28,14:03,20.4,71,1,NE,6,1011.4,27.9,49,1,SSW,13,1008.6
12/01/2023,18.7,24,0,8,8.8,SSW,28,18:11,18.7,87,8,WSW,7,1014,22.9,73,2,SSW,13,1013.9
13/01/2023,18,24.2,0,6.8,6.7,S,31,17:09,20.4,76,8,SSW,6,1017.1,23.3,70,3,SSW,15,1015.5
14/01/2023,20.2,37.6,0,6.4,12.3,NNW,43,13:40,23.3,75,1,NE,6,1012.8,35.4,26,1,NNW,15,1007.4
15/01/2023,18,20.6,0,13.2,2.8,SSW,35,7:23,18.4,72,7,S,13,1018.1,20.3,58,7,SSW,15,1019.7
16/01/2023,15.1,27,0,5.4,6.1,SSW,24,16:28,16.4,72,7,NE,9,1019.5,25.2,50,7,SSW,15,1017.1
17/01/2023,16.3,37.2,0,5.6,11,NW,48,18:41,26.3,54,2,N,20,1015.3,35.6,31,6,N,20,1009.8
18/01/2023,19.8,19.9,6,11,0,S,41,18:43,19.9,94,8,SW,9,1010.9,16.7,85,7,S,15,1012.6
19/01/2023,14.7,19.3,4.6,2.4,4.9,SSW,41,23:50,16.3,56,7,S,15,1016.8,17.5,53,7,S,17,1016.7
20/01/2023,15.5,21,0,6.2,11.2,SSW,35,17:20,17.5,50,7,ESE,9,1017.8,20.3,49,1,SSW,13,1016
21/01/2023,13.8,23,0,6.6,9.2,SSW,43,16:19,17.2,76,7,NW,2,1016.3,22.1,66,3,SSW,15,1014.2
22/01/2023,17.2,23.4,0,7,8.5,SSW,35,14:17,20,72,7,SE,9,1017.1,22.6,70,5,SSW,20,1015.1
23/01/2023,18.2,28,0,7.2,10.8,S,24,15:17,20.1,69,4,NW,7,1016.1,26.3,46,1,SSW,11,1012.7
24/01/2023,17.6,28.6,0,6.6,4.8,SSW,41,14:42,20.4,66,7,NNE,7,1011.8,28.4,36,7,NW,9,1009.2
25/01/2023,17.2,30,1.8,5.8,10.4,SSW,35,18:31,20.3,77,1,NNE,7,1012.1,27.6,50,5,SW,7,1009.2
